# airline_delayed_judgment
#Use neural network to judge flight delayed. by tensorflow

#this is my "airline_data_processed.txt"

#1175筆資料
#CRS_DEP_TIME	CRS_ARR_TIME	DISTANCE	DAY_OF_WEEK	origin_lat	origin_lng	dest_lat	dest_lng	arrivedLate
830	1151	1127	3	42.2125	83.3533	26.0726	80.1528	1
2136	500	2486	6	20.8986	156.4306	33.9425	118.4072	0
1440	1545	641	7	32.8969	97.0381	39.8617	104.6731	0
1300	1536	1773	7	35.2139	80.9431	33.4342	112.0117	0
700	826	366	1	29.18	81.0581	33.6367	84.4281	0
1026	1134	208	7	33.6367	84.4281	30.7814	83.2761	0
647	800	622	6	39.1753	76.6683	41.9808	87.9067	0
1205	1330	846	5	39.8617	104.6731	33.6756	117.8683	0
1324	1638	867	5	41.9808	87.9067	42.3631	71.0064	1
35	610	1514	5	36.08	115.1522	41.9808	87.9067	0
1550	1710	326	6	37.6189	122.375	34.2006	118.3586	0
620	939	1372	5	40.6925	74.1686	32.8969	97.0381	0
805	1043	1182	4	40.6397	73.7789	29.9933	90.2581	0
1005	1327	862	5	39.8617	104.6731	29.9844	95.3414	0
1935	2145	787	1	28.4294	81.3089	39.1753	76.6683	0
1720	1958	1744	6	41.9808	87.9067	33.9425	118.4072	0
1625	1919	1069	2	26.0726	80.1528	40.6397	73.7789	0
1335	1540	1946	7	33.6367	84.4281	33.9425	118.4072	0
1340	1450	1164	3	30.1944	97.67	32.7336	117.1897	0
900	1023	200	2	42.3631	71.0064	40.6925	74.1686	0
1230	1305	102	6	21.976	159.3389	21.3187	157.9225	1
1355	1920	1587	6	33.4342	112.0117	33.6367	84.4281	0
1630	1828	600	3	35.2139	80.9431	26.5362	81.7553	0
2210	2325	342	5	38.7486	90.37	41.3031	95.8942	1
605	851	598	6	36.5869	121.8431	33.4342	112.0117	0
2235	616	2125	7	33.9425	118.4072	35.2139	80.9431	0
1205	1305	197	6	27.9756	82.5333	26.0726	80.1528	0
1825	2027	1514	6	41.9808	87.9067	36.08	115.1522	0
849	1130	528	5	44.8819	93.2217	42.2125	83.3533	0
1055	1312	316	1	41.9808	87.9067	41.4094	81.855	0
1132	1825	1747	5	36.08	115.1522	33.6367	84.4281	0
1030	1144	270	7	30.4942	81.6878	33.6367	84.4281	0
1410	1627	264	2	41.9808	87.9067	39.0489	84.6678	0
2050	120	1090	5	36.08	115.1522	30.1944	97.67	1
1705	2036	2602	4	42.3631	71.0064	33.8178	118.1517	1
2353	700	2405	5	61.1744	149.9964	39.8617	104.6731	1
1130	1622	1598	5	40.6397	73.7789	18.4394	66.0019	0
1330	1500	882	6	28.4294	81.3089	38.7486	90.37	0
645	1207	1399	6	47.45	122.3117	44.8819	93.2217	1
1700	1755	175	7	40.7883	111.9778	42.4817	114.4878	0
1455	1601	214	4	33.6367	84.4281	32.1275	81.2022	0
2029	2154	236	6	36.08	115.1522	33.9425	118.4072	1
1925	2025	236	5	33.9425	118.4072	36.08	115.1522	0
1820	1945	372	2	33.6756	117.8683	37.6189	122.375	0
1730	1821	98	3	43.5328	84.0797	42.2125	83.3533	1
1355	1502	188	2	40.7883	111.9778	43.5136	112.0708	0
745	1007	261	2	33.8297	116.5067	33.4342	112.0117	1
1728	1943	834	3	45.5883	122.5975	33.9425	118.4072	1
2305	706	2419	4	37.6189	122.375	38.9475	77.46	0
542	727	413	7	42.3631	71.0064	38.9475	77.46	0
1140	1555	2562	5	45.5883	122.5975	20.8986	156.4306	1
1440	1724	1028	5	26.6832	80.0956	40.6397	73.7789	0
2105	2205	272	1	38.7486	90.37	36.1244	86.6783	1
1434	1550	237	2	36.1983	95.8881	32.8969	97.0381	1
2240	14	447	2	37.6189	122.375	32.7336	117.1897	0
1125	1140	304	2	33.4342	112.0117	32.7336	117.1897	0
2015	2242	1703	5	26.0726	80.1528	39.8617	104.6731	1
